purchase_date,year,quarter,month,month_name,week,day_of_week,is_weekend
2017-10-09,2017,4,10,October,41,Monday,False
2017-10-10,2017,4,10,October,41,Tuesday,False
2017-10-11,2017,4,10,October,41,Wednesday,False
2017-10-12,2017,4,10,October,41,Thursday,False
2017-10-13,2017,4,10,October,41,Friday,False
2017-10-14,2017,4,10,October,41,Saturday,True
2017-10-15,2017,4,10,October,41,Sunday,True
2017-10-16,2017,4,10,October,42,Monday,False
2017-10-17,2017,4,10,October,42,Tuesday,False
2017-10-18,2017,4,10,October,42,Wednesday,False
2017-10-19,2017,4,10,October,42,Thursday,False
2017-10-20,2017,4,10,October,42,Friday,False
2017-10-21,2017,4,10,October,42,Saturday,True
2017-10-22,2017,4,10,October,42,Sunday,True
2017-10-23,2017,4,10,October,43,Monday,False
2017-10-24,2017,4,10,October,43,Tuesday,False
2017-10-25,2017,4,10,October,43,Wednesday,False
2017-10-26,2017,4,10,October,43,Thursday,False
2017-10-27,2017,4,10,October,43,Friday,False
2017-10-28,2017,4,10,October,43,Saturday,True
2017-10-29,2017,4,10,October,43,Sunday,True
2017-10-30,2017,4,10,October,44,Monday,False
2017-10-31,2017,4,10,October,44,Tuesday,False
2017-11-01,2017,4,11,November,44,Wednesday,False
2017-11-02,2017,4,11,November,44,Thursday,False
2017-11-03,2017,4,11,November,44,Friday,False
2017-11-04,2017,4,11,November,44,Saturday,True
2017-11-05,2017,4,11,November,44,Sunday,True
2017-11-06,2017,4,11,November,45,Monday,False
2017-11-07,2017,4,11,November,45,Tuesday,False
2017-11-08,2017,4,11,November,45,Wednesday,False
2017-11-09,2017,4,11,November,45,Thursday,False
2017-11-10,2017,4,11,November,45,Friday,False
2017-11-11,2017,4,11,November,45,Saturday,True
2017-11-12,2017,4,11,November,45,Sunday,True
2017-11-13,2017,4,11,November,46,Monday,False
2017-11-14,2017,4,11,November,46,Tuesday,False
2017-11-15,2017,4,11,November,46,Wednesday,False
2017-11-16,2017,4,11,November,46,Thursday,False
2017-11-17,2017,4,11,November,46,Friday,False
2017-11-18,2017,4,11,November,46,Saturday,True
2017-11-19,2017,4,11,November,46,Sunday,True
2017-11-20,2017,4,11,November,47,Monday,False
2017-11-21,2017,4,11,November,47,Tuesday,False
2017-11-22,2017,4,11,November,47,Wednesday,False
2017-11-23,2017,4,11,November,47,Thursday,False
2017-11-24,2017,4,11,November,47,Friday,False
2017-11-25,2017,4,11,November,47,Saturday,True
2017-11-26,2017,4,11,November,47,Sunday,True
2017-11-27,2017,4,11,November,48,Monday,False
2017-11-28,2017,4,11,November,48,Tuesday,False
2017-11-29,2017,4,11,November,48,Wednesday,False
2017-11-30,2017,4,11,November,48,Thursday,False
2017-12-01,2017,4,12,December,48,Friday,False
2017-12-02,2017,4,12,December,48,Saturday,True
2017-12-03,2017,4,12,December,48,Sunday,True
2017-12-04,2017,4,12,December,49,Monday,False
2017-12-05,2017,4,12,December,49,Tuesday,False
2017-12-06,2017,4,12,December,49,Wednesday,False
2017-12-07,2017,4,12,December,49,Thursday,False
2017-12-08,2017,4,12,December,49,Friday,False
2017-12-09,2017,4,12,December,49,Saturday,True
2017-12-10,2017,4,12,December,49,Sunday,True
